15:59:56, 21.75, 30.06, 48.08, 0.00, 82.64
16:0:3, 21.84, 30.06, 46.79, 4.05, 82.64
16:0:10, 21.96, 30.06, 45.81, 5.26, 82.64
16:0:17, 22.02, 30.06, 45.27, 6.55, 82.64
16:0:25, 22.04, 30.06, 44.99, 8.02, 82.97
16:0:32, 22.05, 30.06, 44.73, 9.57, 82.64
16:0:39, 22.05, 30.06, 44.73, 11.16, 82.97
16:0:46, 22.04, 30.06, 44.88, 12.70, 82.80
16:0:53, 22.03, 30.06, 45.04, 14.22, 82.97
16:1:0, 22.02, 30.06, 45.10, 15.79, 82.80
16:1:7, 22.01, 30.06, 45.15, 17.29, 82.80
16:1:14, 22.01, 30.06, 45.06, 18.73, 82.80
16:1:21, 22.00, 30.06, 44.92, 20.26, 82.64
16:1:28, 21.99, 30.06, 44.74, 21.77, 82.80
16:1:35, 21.99, 30.06, 44.61, 23.10, 82.80
16:1:42, 21.98, 30.06, 44.57, 24.58, 82.64
16:1:49, 21.98, 30.06, 44.48, 25.97, 82.64
16:1:56, 21.98, 30.06, 44.39, 27.25, 82.47
16:2:3, 21.97, 30.06, 44.33, 28.61, 82.64
16:2:10, 21.96, 30.06, 44.28, 29.80, 82.47
16:2:17, 21.95, 30.06, 44.31, 31.03, 82.64
16:2:24, 21.94, 30.06, 44.31, 32.11, 82.47
16:2:31, 21.92, 30.06, 44.38, 33.25, 82.47
16:2:38, 21.90, 30.06, 44.45, 34.28, 82.64
16:2:45, 21.89, 30.06, 44.48, 35.13, 82.47
16:2:53, 21.89, 30.06, 44.75, 35.79, 82.47
16:3:0, 21.90, 30.06, 45.67, 36.25, 82.14
16:3:7, 21.91, 30.06, 45.52, 37.44, 82.30
16:3:14, 21.93, 30.06, 45.15, 38.53, 82.14
16:3:21, 21.95, 30.06, 44.85, 39.36, 82.30
16:3:28, 21.98, 30.06, 44.67, 40.41, 82.30
16:3:35, 22.01, 30.06, 44.56, 41.28, 82.47
16:3:42, 22.04, 30.06, 44.51, 41.98, 82.14
16:3:49, 22.07, 30.06, 44.60, 42.70, 82.30
16:3:56, 22.10, 30.06, 44.49, 43.54, 82.30
16:4:3, 22.14, 30.06, 44.29, 44.31, 82.14
16:4:10, 22.17, 30.06, 44.17, 45.07, 82.47
