16:3:19, 23.73, 30.02, 51.15, 0.00, 94.31
16:3:26, 23.81, 30.02, 48.53, 9.76, 94.14
16:3:34, 23.91, 30.02, 48.05, 12.53, 94.14
16:3:41, 23.99, 30.02, 50.08, 15.35, 94.31
16:3:48, 24.07, 30.02, 52.52, 18.04, 94.31
16:3:55, 24.16, 30.02, 52.79, 20.84, 94.14
16:4:2, 24.22, 30.02, 51.08, 23.89, 94.31
16:4:9, 24.25, 30.02, 49.58, 26.85, 94.47
16:4:16, 24.24, 30.02, 48.10, 29.82, 94.47
16:4:23, 24.23, 30.02, 47.67, 32.19, 94.64
16:4:30, 24.23, 30.02, 47.79, 34.36, 94.80
16:4:37, 24.24, 30.02, 48.22, 35.88, 94.47
16:4:44, 24.26, 30.02, 50.21, 36.98, 94.64
16:4:51, 24.29, 30.02, 51.11, 38.08, 94.47
16:4:58, 24.33, 30.03, 51.45, 39.17, 90.74
16:5:5, 24.36, 30.03, 51.51, 40.33, 92.48
16:5:12, 24.40, 30.02, 51.24, 41.44, 93.31
16:5:19, 24.44, 30.02, 51.37, 42.36, 93.48
16:5:26, 24.48, 30.02, 51.72, 43.00, 93.48
16:5:33, 24.52, 30.02, 51.88, 43.76, 93.48
16:5:40, 24.56, 30.02, 51.99, 44.36, 93.48
16:5:47, 24.59, 30.02, 51.98, 45.26, 93.15
16:5:54, 24.62, 30.02, 51.93, 45.85, 93.15
16:6:1, 24.65, 30.02, 51.83, 46.61, 93.15
16:6:8, 24.67, 30.02, 51.74, 47.13, 93.31
16:6:15, 24.69, 30.02, 51.63, 47.53, 93.15
16:6:23, 24.71, 30.02, 51.53, 47.80, 93.15
16:6:30, 24.72, 30.02, 51.37, 48.32, 92.98
16:6:37, 24.74, 30.02, 51.24, 49.05, 92.81
16:6:44, 24.75, 30.02, 51.11, 49.71, 92.98
16:6:51, 24.76, 30.02, 51.01, 50.13, 92.81
16:6:58, 24.77, 30.02, 50.90, 50.10, 92.98
16:7:5, 24.78, 30.02, 50.79, 51.25, 92.98
16:7:12, 24.78, 30.02, 50.65, 51.76, 92.81
16:7:19, 24.79, 30.02, 50.53, 52.04, 92.81
16:7:26, 24.79, 30.02, 50.41, 52.37, 92.81
16:7:33, 24.79, 30.02, 50.31, 53.43, 92.81
16:7:40, 24.79, 30.02, 50.19, 53.56, 93.15
16:7:47, 24.79, 30.02, 50.10, 54.04, 92.98
16:7:54, 24.78, 30.02, 50.00, 54.36, 93.15
16:8:1, 24.78, 30.02, 49.90, 54.78, 92.98
16:8:8, 24.76, 30.02, 49.80, 55.10, 92.98
16:8:15, 24.75, 30.02, 49.72, 55.47, 92.81
16:8:23, 24.74, 30.02, 49.66, 55.47, 92.98
16:8:30, 24.72, 30.02, 49.57, 55.83, 93.15
16:8:37, 24.71, 30.02, 49.50, 56.51, 93.31
16:8:44, 24.70, 30.02, 49.41, 57.12, 93.15
16:8:51, 24.68, 30.02, 49.33, 57.55, 93.15
16:8:58, 24.67, 30.02, 49.24, 57.94, 93.31
16:9:5, 24.65, 30.02, 49.14, 58.26, 93.15
16:9:12, 24.63, 30.02, 49.06, 57.94, 93.15
16:9:19, 24.61, 30.02, 48.93, 58.75, 92.98
16:9:26, 24.59, 30.02, 48.78, 59.08, 92.98
16:9:33, 24.57, 30.02, 48.67, 59.54, 93.15
16:9:40, 24.54, 30.02, 48.54, 60.13, 92.98
16:9:47, 24.52, 30.02, 48.43, 60.47, 93.48
16:9:59, 24.06, 30.02, 48.35, 0.00, 93.64
16:10:6, 24.14, 30.02, 48.26, 53.74, 93.64
16:10:13, 24.24, 30.02, 48.13, 56.51, 93.48
16:10:20, 24.29, 30.02, 48.01, 58.34, 92.98
16:10:27, 24.30, 30.02, 47.91, 59.41, 93.15
16:10:34, 24.30, 30.02, 47.80, 60.39, 93.31
16:10:41, 24.29, 30.02, 47.68, 60.87, 92.81
16:10:48, 24.27, 30.02, 47.57, 62.31, 93.15
16:10:55, 24.24, 30.02, 47.47, 62.44, 92.98
16:11:2, 24.21, 30.02, 47.36, 63.53, 92.81
