
$GPRMC,155956.386,V,,,,,0.00,0.00,150318,,,N*45

$GPRMC,160003.386,V,,,,,0.00,0.00,150318,,,N*4A

$GPRMC,160010.401,V,,,,,0.02,229.38,150318,,,N*40

$GPRMC,160017.402,V,,,,,0.01,229.35,150318,,,N*4A

$GPRMC,160025.000,A,3732.7462,N,12216.5114,W,0.44,117.05,150318,,,A*75

$GPRMC,160032.000,A,3732.7469,N,12216.5121,W,0.15,46.88,150318,,,A*4A

$GPRMC,160039.000,A,3732.7439,N,12216.5084,W,0.33,43.33,150318,,,A*4B

$GPRMC,160046.000,A,3732.7435,N,12216.5081,W,0.01,85.24,150318,,,A*47

$GPRMC,160053.000,A,3732.7434,N,12216.5072,W,0.21,113.09,150318,,,A*7D

$GPRMC,160100.000,A,3732.7429,N,12216.5072,W,0.37,188.93,150318,,,A*70

$GPRMC,160107.000,A,3732.7420,N,12216.5072,W,0.44,202.60,150318,,,A*77

$GPRMC,160114.000,A,3732.7418,N,12216.5075,W,0.23,329.78,150318,,,A*79

$GPRMC,160121.000,A,3732.7420,N,12216.5075,W,0.19,68.92,150318,,,A*4F

$GPRMC,160128.000,A,3732.7423,N,12216.5069,W,0.52,65.09,150318,,,A*48

$GPRMC,160135.000,A,3732.7441,N,12216.5051,W,0.72,28.88,150318,,,A*49

$GPRMC,160142.000,A,3732.7450,N,12216.5043,W,0.43,20.52,150318,,,A*47

$GPRMC,160149.000,A,3732.7457,N,12216.5039,W,0.42,33.74,150318,,,A*41

$GPRMC,160156.000,A,3732.7470,N,12216.5036,W,0.61,12.33,150318,,,A*44

$GPRMC,160203.000,A,3732.7471,N,12216.5047,W,0.19,334.22,150318,,,A*78

$GPRMC,160210.000,A,3732.7470,N,12216.5048,W,0.15,329.29,150318,,,A*7F

$GPRMC,160217.000,A,3732.7472,N,12216.5048,W,0.19,132.79,150318,,,A*7B

$GPRMC,160224.000,A,3732.7455,N,12216.5045,W,0.46,153.11,150318,,,A*70

$GPRMC,160231.000,A,3732.7454,N,12216.5057,W,0.03,74.46,150318,,,A*41

$GPRMC,160238.000,A,3732.7454,N,12216.5057,W,0.09,276.04,150318,,,A*74

$GPRMC,160245.000,A,3732.7453,N,12216.5061,W,0.09,218.99,150318,,,A*70

$GPRMC,160253.000,A,3732.7312,N,12216.5071,W,0.37,47.58,150318,,,A*4C

$GPRMC,160300.000,A,3732.7334,N,12216.5087,W,0.25,116.11,150318,,,A*7D

$GPRMC,160307.000,A,3732.7330,N,12216.5083,W,0.21,92.90,150318,,,A*4A

$GPRMC,160314.000,A,3732.7331,N,12216.5082,W,0.06,232.29,150318,,,A*77

$GPRMC,160321.000,A,3732.7329,N,12216.5080,W,0.21,106.31,150318,,,A*72

$GPRMC,160328.000,A,3732.7327,N,12216.5073,W,0.37,123.07,150318,,,A*7C

$GPRMC,160335.000,A,3732.7323,N,12216.5067,W,0.34,125.85,150318,,,A*7E

$GPRMC,160342.000,A,3732.7320,N,12216.5062,W,0.30,126.58,150318,,,A*7F

$GPRMC,160349.000,A,3732.7317,N,12216.5058,W,0.25,173.76,150318,,,A*71

$GPRMC,160356.000,A,3732.7312,N,12216.5055,W,0.26,124.65,150318,,,A*74

$GPRMC,160403.000,A,3732.7308,N,12216.5051,W,0.50,151.81,150318,,,A*75

$GPRMC,160410.000,A,3732.7301,N,12216.5046,W,0.44,120.24,150318,,,A*74

$GPRMC,160417.000,A,3732.7294,N,12216.5039,W,0.42,136.74,150318,,,A*72

$GPRMC,160424.000,A,3732.7291,N,12216.5034,W,0.13,169.05,150318,,,A*72

$GPRMC,160431.000,A,3732.7294,N,12216.5036,W,0.21,7.91,150318,,,A*74

$GPRMC,160438.000,A,3732.7295,N,12216.5034,W,0.21,90.31,150318,,,A*4A

$GPRMC,160445.000,A,3732.7299,N,12216.5031,W,0.18,157.44,150318,,,A*7B

$GPRMC,160452.000,A,3732.7295,N,12216.5030,W,0.29,213.15,150318,,,A*75

$GPRMC,160459.000,A,3732.7293,N,12216.5033,W,0.26,254.29,150318,,,A*78

$GPRMC,160506.000,A,3732.7295,N,12216.5039,W,0.30,285.95,150318,,,A*73

$GPRMC,160513.000,A,3732.7296,N,12216.5043,W,0.31,272.79,150318,,,A*72

$GPRMC,160520.000,A,3732.7299,N,12216.5049,W,0.42,296.30,150318,,,A*74

$GPRMC,160527.000,A,3732.7306,N,12216.5055,W,0.32,341.17,150318,,,A*70

$GPRMC,160534.000,A,3732.7308,N,12216.5056,W,0.16,344.49,150318,,,A*77

$GPRMC,160541.000,A,3732.7312,N,12216.5056,W,0.15,298.59,150318,,,A*7C

$GPRMC,160548.000,A,3732.7312,N,12216.5060,W,0.04,139.95,150318,,,A*78

$GPRMC,160555.000,A,3732.7313,N,12216.5060,W,0.28,1.69,150318,,,A*72

$GPRMC,160602.000,A,3732.7318,N,12216.5063,W,0.52,323.47,150318,,,A*79

$GPRMC,160609.000,A,3732.7324,N,12216.5067,W,0.29,325.94,150318,,,A*7D

$GPRMC,160616.000,A,3732.7328,N,12216.5073,W,0.43,329.72,150318,,,A*72

$GPRMC,160623.000,A,3732.7335,N,12216.5080,W,0.31,307.65,150318,,,A*7B

$GPRMC,160630.000,A,3732.7338,N,12216.5087,W,0.20,294.99,150318,,,A*7B

$GPRMC,160637.000,A,3732.7342,N,12216.5104,W,0.27,181.19,150318,,,A*73

